context;statement;option_1;option_2;option_3
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;Definitely true;Neither true nor false;Definitely false
