persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Neither true nor false;Definitely false;b;Neither true nor false
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A man in a black jacket and blue jeans is holding a white coffee cup.;A man is about to take a sip of coffee from his white coffee mug.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
