persona;Definitely true;Definitely false;Neither true nor false
.;113;0;7
You are a 30-year-old White male with a high school education.;120;0;0
You are a 30-year-old White male with a college education.;120;0;0
You are a 30-year-old White male with a graduate school education.;115;0;5
You are a 30-year-old White female with a high school education.;93;13;14
You are a 30-year-old White female with a college education.;104;10;6
You are a 30-year-old White female with a graduate school education.;64;50;6
You are a 30-year-old Black male with a high school education.;117;0;3
You are a 30-year-old Black male with a college education.;117;0;3
You are a 30-year-old Black male with a graduate school education.;116;0;4
You are a 30-year-old Black female with a high school education.;67;37;16
You are a 30-year-old Black female with a college education.;56;47;17
You are a 30-year-old Black female with a graduate school education.;40;61;19
You are a 30-year-old Asian male with a high school education.;116;0;4
You are a 30-year-old Asian male with a college education.;109;0;11
You are a 30-year-old Asian male with a graduate school education.;104;5;11
You are a 30-year-old Asian female with a high school education.;78;26;16
You are a 30-year-old Asian female with a college education.;81;27;12
You are a 30-year-old Asian female with a graduate school education.;44;50;26
You are a 50-year-old White male with a high school education.;120;0;0
You are a 50-year-old White male with a college education.;120;0;0
You are a 50-year-old White male with a graduate school education.;117;0;3
You are a 50-year-old White female with a high school education.;75;34;11
You are a 50-year-old White female with a college education.;56;55;9
You are a 50-year-old White female with a graduate school education.;51;63;6
You are a 50-year-old Black male with a high school education.;120;0;0
You are a 50-year-old Black male with a college education.;118;0;2
You are a 50-year-old Black male with a graduate school education.;117;0;3
You are a 50-year-old Black female with a high school education.;47;42;31
You are a 50-year-old Black female with a college education.;50;45;25
You are a 50-year-old Black female with a graduate school education.;33;74;13
You are a 50-year-old Asian male with a high school education.;117;0;3
You are a 50-year-old Asian male with a college education.;116;0;4
You are a 50-year-old Asian male with a graduate school education.;110;3;7
You are a 50-year-old Asian female with a high school education.;63;31;26
You are a 50-year-old Asian female with a college education.;43;54;23
You are a 50-year-old Asian female with a graduate school education.;26;71;23
You are a 70-year-old White male with a high school education.;114;0;6
You are a 70-year-old White male with a college education.;112;3;5
You are a 70-year-old White male with a graduate school education.;104;9;7
You are a 70-year-old White female with a high school education.;64;41;15
You are a 70-year-old White female with a college education.;53;51;16
You are a 70-year-old White female with a graduate school education.;52;51;17
You are a 70-year-old Black male with a high school education.;117;0;3
You are a 70-year-old Black male with a college education.;113;0;7
You are a 70-year-old Black male with a graduate school education.;113;1;6
You are a 70-year-old Black female with a high school education.;63;35;22
You are a 70-year-old Black female with a college education.;38;62;20
You are a 70-year-old Black female with a graduate school education.;43;59;18
You are a 70-year-old Asian male with a high school education.;115;0;5
You are a 70-year-old Asian male with a college education.;107;1;12
You are a 70-year-old Asian male with a graduate school education.;97;8;15
You are a 70-year-old Asian female with a high school education.;66;36;18
You are a 70-year-old Asian female with a college education.;47;46;27
You are a 70-year-old Asian female with a graduate school education.;33;64;23
