persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
.;Several children in full riding gear are on horseback in a grassy field carrying polo equipment.;The children are swinging on swings at the playground.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
