context;statement;option_1;option_2;option_3
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Definitely false;Neither true nor false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
Indian people dressed in magnificent bright colors conduct a ritual.;Indian people hunting animals;Definitely true;Neither true nor false;Definitely false
