context;statement;persona;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;.;67;34;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old White male with a high school education.;71;30;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old White male with a college education.;66;41;13
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old White male with a graduate school education.;63;38;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old White female with a high school education.;55;48;17
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old White female with a college education.;49;56;15
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old White female with a graduate school education.;47;54;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Black male with a high school education.;77;27;16
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Black male with a college education.;80;27;13
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Black male with a graduate school education.;65;40;15
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Black female with a high school education.;63;36;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Black female with a college education.;58;41;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Black female with a graduate school education.;50;51;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Asian male with a high school education.;74;27;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Asian male with a college education.;71;32;17
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Asian male with a graduate school education.;82;26;12
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Asian female with a high school education.;81;23;16
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Asian female with a college education.;66;38;16
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 30-year-old Asian female with a graduate school education.;68;34;18
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old White male with a high school education.;76;26;18
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old White male with a college education.;70;34;16
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old White male with a graduate school education.;65;45;10
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old White female with a high school education.;45;55;20
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old White female with a college education.;40;58;22
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old White female with a graduate school education.;41;68;11
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Black male with a high school education.;74;34;12
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Black male with a college education.;66;37;17
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Black male with a graduate school education.;69;39;12
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Black female with a high school education.;52;53;15
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Black female with a college education.;58;44;18
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Black female with a graduate school education.;61;38;21
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Asian male with a high school education.;80;21;19
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Asian male with a college education.;76;32;12
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Asian male with a graduate school education.;86;23;11
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Asian female with a high school education.;68;35;17
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Asian female with a college education.;68;36;16
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;You are a 50-year-old Asian female with a graduate school education.;66;38;16
