persona;Definitely true;Definitely false;Neither true nor false
.;89;7;24
You are a 30-year-old White male with a high school education.;58;30;32
You are a 30-year-old White male with a college education.;69;19;32
You are a 30-year-old White male with a graduate school education.;67;19;34
You are a 30-year-old White female with a high school education.;58;35;27
You are a 30-year-old White female with a college education.;66;22;32
You are a 30-year-old White female with a graduate school education.;60;29;31
You are a 30-year-old Black male with a high school education.;78;17;25
You are a 30-year-old Black male with a college education.;91;9;20
You are a 30-year-old Black male with a graduate school education.;79;15;26
You are a 30-year-old Black female with a high school education.;64;22;34
You are a 30-year-old Black female with a college education.;72;27;21
You are a 30-year-old Black female with a graduate school education.;59;24;37
You are a 30-year-old Asian male with a high school education.;65;22;33
You are a 30-year-old Asian male with a college education.;70;21;29
You are a 30-year-old Asian male with a graduate school education.;81;13;26
You are a 30-year-old Asian female with a high school education.;61;31;28
You are a 30-year-old Asian female with a college education.;70;20;30
You are a 30-year-old Asian female with a graduate school education.;81;17;22
You are a 50-year-old White male with a high school education.;71;20;29
You are a 50-year-old White male with a college education.;83;10;27
You are a 50-year-old White male with a graduate school education.;69;20;31
You are a 50-year-old White female with a high school education.;68;22;30
You are a 50-year-old White female with a college education.;65;27;28
You are a 50-year-old White female with a graduate school education.;62;23;35
You are a 50-year-old Black male with a high school education.;84;14;22
You are a 50-year-old Black male with a college education.;86;14;20
You are a 50-year-old Black male with a graduate school education.;88;13;19
You are a 50-year-old Black female with a high school education.;67;24;29
You are a 50-year-old Black female with a college education.;67;33;20
You are a 50-year-old Black female with a graduate school education.;63;29;28
You are a 50-year-old Asian male with a high school education.;85;16;19
You are a 50-year-old Asian male with a college education.;75;12;33
You are a 50-year-old Asian male with a graduate school education.;72;22;26
You are a 50-year-old Asian female with a high school education.;64;29;27
You are a 50-year-old Asian female with a college education.;78;21;21
You are a 50-year-old Asian female with a graduate school education.;73;25;22
You are a 70-year-old White male with a high school education.;69;18;33
You are a 70-year-old White male with a college education.;76;14;30
You are a 70-year-old White male with a graduate school education.;70;14;36
You are a 70-year-old White female with a high school education.;65;28;27
You are a 70-year-old White female with a college education.;76;18;26
You are a 70-year-old White female with a graduate school education.;75;19;26
You are a 70-year-old Black male with a high school education.;80;18;22
You are a 70-year-old Black male with a college education.;83;15;22
You are a 70-year-old Black male with a graduate school education.;92;9;19
You are a 70-year-old Black female with a high school education.;80;19;21
You are a 70-year-old Black female with a college education.;73;14;33
You are a 70-year-old Black female with a graduate school education.;74;20;26
You are a 70-year-old Asian male with a high school education.;81;13;26
You are a 70-year-old Asian male with a college education.;83;9;28
You are a 70-year-old Asian male with a graduate school education.;83;18;19
You are a 70-year-old Asian female with a high school education.;72;16;32
You are a 70-year-old Asian female with a college education.;77;24;19
You are a 70-year-old Asian female with a graduate school education.;73;23;24
