context;statement;option_1;option_2;option_3
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Definitely false;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely true;Neither true nor false;Definitely false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Definitely true;Neither true nor false
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
Two kickboxers compete in front of a live audience.;there was a kickboxer waiting for other one to come;Definitely false;Neither true nor false;Definitely true
