persona;Definitely true;Definitely false;Neither true nor false
.;120;0;0
You are a 30-year-old White male with a high school education.;120;0;0
You are a 30-year-old White male with a college education.;120;0;0
You are a 30-year-old White male with a graduate school education.;120;0;0
You are a 30-year-old White female with a high school education.;120;0;0
You are a 30-year-old White female with a college education.;120;0;0
You are a 30-year-old White female with a graduate school education.;120;0;0
You are a 30-year-old Black male with a high school education.;120;0;0
You are a 30-year-old Black male with a college education.;120;0;0
You are a 30-year-old Black male with a graduate school education.;120;0;0
You are a 30-year-old Black female with a high school education.;120;0;0
You are a 30-year-old Black female with a college education.;120;0;0
You are a 30-year-old Black female with a graduate school education.;120;0;0
You are a 30-year-old Asian male with a high school education.;120;0;0
You are a 30-year-old Asian male with a college education.;120;0;0
You are a 30-year-old Asian male with a graduate school education.;120;0;0
You are a 30-year-old Asian female with a high school education.;120;0;0
You are a 30-year-old Asian female with a college education.;120;0;0
You are a 30-year-old Asian female with a graduate school education.;120;0;0
You are a 50-year-old White male with a high school education.;120;0;0
You are a 50-year-old White male with a college education.;120;0;0
You are a 50-year-old White male with a graduate school education.;120;0;0
You are a 50-year-old White female with a high school education.;120;0;0
You are a 50-year-old White female with a college education.;120;0;0
You are a 50-year-old White female with a graduate school education.;120;0;0
You are a 50-year-old Black male with a high school education.;120;0;0
You are a 50-year-old Black male with a college education.;120;0;0
You are a 50-year-old Black male with a graduate school education.;120;0;0
You are a 50-year-old Black female with a high school education.;120;0;0
You are a 50-year-old Black female with a college education.;120;0;0
You are a 50-year-old Black female with a graduate school education.;120;0;0
You are a 50-year-old Asian male with a high school education.;120;0;0
You are a 50-year-old Asian male with a college education.;120;0;0
You are a 50-year-old Asian male with a graduate school education.;120;0;0
You are a 50-year-old Asian female with a high school education.;120;0;0
You are a 50-year-old Asian female with a college education.;120;0;0
You are a 50-year-old Asian female with a graduate school education.;120;0;0
You are a 70-year-old White male with a high school education.;120;0;0
You are a 70-year-old White male with a college education.;120;0;0
You are a 70-year-old White male with a graduate school education.;120;0;0
You are a 70-year-old White female with a high school education.;120;0;0
You are a 70-year-old White female with a college education.;120;0;0
You are a 70-year-old White female with a graduate school education.;120;0;0
You are a 70-year-old Black male with a high school education.;120;0;0
You are a 70-year-old Black male with a college education.;120;0;0
You are a 70-year-old Black male with a graduate school education.;120;0;0
You are a 70-year-old Black female with a high school education.;120;0;0
You are a 70-year-old Black female with a college education.;120;0;0
You are a 70-year-old Black female with a graduate school education.;120;0;0
You are a 70-year-old Asian male with a high school education.;120;0;0
You are a 70-year-old Asian male with a college education.;120;0;0
You are a 70-year-old Asian male with a graduate school education.;120;0;0
You are a 70-year-old Asian female with a high school education.;120;0;0
You are a 70-year-old Asian female with a college education.;120;0;0
You are a 70-year-old Asian female with a graduate school education.;120;0;0
