context;statement;persona;Definitely true;Definitely false;Neither true nor false
Two girls wading through hip deep mud.;The two people are in deep muddy water.;.;101;9;10
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old White male with a high school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old White male with a college education.;117;0;3
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old White male with a graduate school education.;118;0;2
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old White female with a high school education.;117;0;3
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old White female with a college education.;118;0;2
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old White female with a graduate school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Black male with a high school education.;118;0;2
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Black male with a college education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Black male with a graduate school education.;118;0;2
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Black female with a high school education.;120;0;0
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Black female with a college education.;113;0;7
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Black female with a graduate school education.;112;0;8
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Asian male with a high school education.;120;0;0
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Asian male with a college education.;120;0;0
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Asian male with a graduate school education.;120;0;0
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Asian female with a high school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Asian female with a college education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 30-year-old Asian female with a graduate school education.;119;0;1
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old White male with a high school education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old White male with a college education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old White male with a graduate school education.;117;0;3
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old White female with a high school education.;113;0;7
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old White female with a college education.;110;0;10
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old White female with a graduate school education.;117;0;3
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Black male with a high school education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Black male with a college education.;119;0;1
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Black male with a graduate school education.;117;0;3
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Black female with a high school education.;110;0;10
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Black female with a college education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Black female with a graduate school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Asian male with a high school education.;119;0;1
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Asian male with a college education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Asian male with a graduate school education.;118;0;2
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Asian female with a high school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Asian female with a college education.;113;0;7
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 50-year-old Asian female with a graduate school education.;116;0;4
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old White male with a high school education.;115;0;5
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old White male with a college education.;112;1;7
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old White male with a graduate school education.;111;0;9
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old White female with a high school education.;114;0;6
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old White female with a college education.;107;1;12
Two girls wading through hip deep mud.;The two people are in deep muddy water.;You are a 70-year-old White female with a graduate school education.;110;2;8
