persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
