context;statement;option_1;option_2;option_3
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true
A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true
