context;statement;persona;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old White male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old White male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old White male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old White female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old White female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old White female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Black male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Black male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Black male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Black female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Black female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Black female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Asian male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Asian male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Asian male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Asian female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Asian female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 30-year-old Asian female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old White male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old White male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old White male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old White female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old White female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old White female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Black male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Black male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Black male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Black female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Black female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Black female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Asian male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Asian male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Asian male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Asian female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Asian female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 50-year-old Asian female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old White male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old White male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old White male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old White female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old White female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old White female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Black male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Black male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Black male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Black female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Black female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Black female with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Asian male with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Asian male with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Asian male with a graduate school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Asian female with a high school education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Asian female with a college education.;120;0;0
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;You are a 70-year-old Asian female with a graduate school education.;120;0;0
