context;statement;option_1;option_2;option_3
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Definitely true;Neither true nor false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely false;Neither true nor false;Definitely true
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Neither true nor false;Definitely true;Definitely false
