context;statement;option_1;option_2;option_3
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Definitely false;Neither true nor false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Neither true nor false;Definitely false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Neither true nor false;Definitely false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Neither true nor false;Definitely false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Neither true nor false;Definitely false
A pale dog runs down a path.;A dog is laying down inside.;Definitely true;Neither true nor false;Definitely false
