context;statement;persona;Definitely true;Definitely false;Neither true nor false
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;.;104;4;12
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old White male with a high school education.;63;37;20
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old White male with a college education.;57;42;21
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old White male with a graduate school education.;58;35;27
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old White female with a high school education.;42;48;30
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old White female with a college education.;55;41;24
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old White female with a graduate school education.;58;36;26
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Black male with a high school education.;48;43;29
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Black male with a college education.;54;39;27
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Black male with a graduate school education.;37;55;28
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Black female with a high school education.;51;42;27
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Black female with a college education.;45;45;30
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Black female with a graduate school education.;36;47;37
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Asian male with a high school education.;34;57;29
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Asian male with a college education.;48;40;32
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Asian male with a graduate school education.;58;36;26
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Asian female with a high school education.;28;63;29
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Asian female with a college education.;49;39;32
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 30-year-old Asian female with a graduate school education.;40;48;32
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old White male with a high school education.;113;0;7
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old White male with a college education.;112;0;8
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old White male with a graduate school education.;117;0;3
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old White female with a high school education.;94;10;16
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old White female with a college education.;105;7;8
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old White female with a graduate school education.;98;11;11
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Black male with a high school education.;102;8;10
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Black male with a college education.;100;7;13
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Black male with a graduate school education.;106;4;10
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Black female with a high school education.;89;13;18
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Black female with a college education.;84;21;15
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Black female with a graduate school education.;91;18;11
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Asian male with a high school education.;108;2;10
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Asian male with a college education.;113;2;5
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Asian male with a graduate school education.;112;0;8
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Asian female with a high school education.;81;24;15
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Asian female with a college education.;94;15;11
Here is a picture of a bald man with a beard and sunglasses, washing his hands at a spring or waterfall.;There is an elderly man standing outside near water.;You are a 50-year-old Asian female with a graduate school education.;90;15;15
