context;statement;option_1;option_2;option_3
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Definitely true;Neither true nor false
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely false;Neither true nor false;Definitely true
