context;statement;option_1;option_2;option_3
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false
