persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.;A number of boys are airborne at the beach.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
