persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A gray dog with blue eyes laying on a bright blue carpet while chewing on something.;A gray dog is chewing a toy.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
