persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.;There is artwork with trees.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
