persona;Definitely true;Definitely false;Neither true nor false
.;103;2;15
You are a 30-year-old White male with a high school education.;108;0;12
You are a 30-year-old White male with a college education.;112;0;8
You are a 30-year-old White male with a graduate school education.;109;0;11
You are a 30-year-old White female with a high school education.;107;0;13
You are a 30-year-old White female with a college education.;114;0;6
You are a 30-year-old White female with a graduate school education.;114;0;6
You are a 30-year-old Black male with a high school education.;105;0;15
You are a 30-year-old Black male with a college education.;110;0;10
You are a 30-year-old Black male with a graduate school education.;110;0;10
You are a 30-year-old Black female with a high school education.;111;0;9
You are a 30-year-old Black female with a college education.;103;0;17
You are a 30-year-old Black female with a graduate school education.;110;0;10
You are a 30-year-old Asian male with a high school education.;108;0;12
You are a 30-year-old Asian male with a college education.;115;0;5
You are a 30-year-old Asian male with a graduate school education.;112;0;8
You are a 30-year-old Asian female with a high school education.;111;0;9
You are a 30-year-old Asian female with a college education.;110;0;10
You are a 30-year-old Asian female with a graduate school education.;112;0;8
You are a 50-year-old White male with a high school education.;106;0;14
You are a 50-year-old White male with a college education.;107;0;13
You are a 50-year-old White male with a graduate school education.;110;0;10
You are a 50-year-old White female with a high school education.;105;0;15
You are a 50-year-old White female with a college education.;108;1;11
You are a 50-year-old White female with a graduate school education.;109;0;11
You are a 50-year-old Black male with a high school education.;108;0;12
You are a 50-year-old Black male with a college education.;108;0;12
You are a 50-year-old Black male with a graduate school education.;105;0;15
You are a 50-year-old Black female with a high school education.;104;4;12
You are a 50-year-old Black female with a college education.;100;5;15
You are a 50-year-old Black female with a graduate school education.;108;0;12
You are a 50-year-old Asian male with a high school education.;110;0;10
You are a 50-year-old Asian male with a college education.;111;0;9
You are a 50-year-old Asian male with a graduate school education.;110;0;10
You are a 50-year-old Asian female with a high school education.;110;0;10
You are a 50-year-old Asian female with a college education.;107;0;13
You are a 50-year-old Asian female with a graduate school education.;109;0;11
You are a 70-year-old White male with a high school education.;104;0;16
You are a 70-year-old White male with a college education.;105;0;15
You are a 70-year-old White male with a graduate school education.;106;0;14
You are a 70-year-old White female with a high school education.;103;1;16
You are a 70-year-old White female with a college education.;103;2;15
You are a 70-year-old White female with a graduate school education.;105;0;15
You are a 70-year-old Black male with a high school education.;111;0;9
You are a 70-year-old Black male with a college education.;107;0;13
You are a 70-year-old Black male with a graduate school education.;108;0;12
You are a 70-year-old Black female with a high school education.;113;0;7
You are a 70-year-old Black female with a college education.;107;5;8
You are a 70-year-old Black female with a graduate school education.;107;3;10
You are a 70-year-old Asian male with a high school education.;111;0;9
You are a 70-year-old Asian male with a college education.;110;0;10
You are a 70-year-old Asian male with a graduate school education.;109;0;11
You are a 70-year-old Asian female with a high school education.;99;0;21
You are a 70-year-old Asian female with a college education.;109;0;11
You are a 70-year-old Asian female with a graduate school education.;110;0;10
