context;statement;option_1;option_2;option_3
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Definitely false;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely true;Neither true nor false;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Definitely true;Neither true nor false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Definitely false;Neither true nor false;Definitely true
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
A woman sitting in a tan chair beside of a dog while smiling at the camera.;The man is an actor at a photoshoot.;Neither true nor false;Definitely true;Definitely false
