context;statement;persona;Definitely true;Definitely false;Neither true nor false
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;.;26;73;21
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old White male with a high school education.;16;91;13
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old White male with a college education.;28;81;11
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old White male with a graduate school education.;30;80;10
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old White female with a high school education.;12;101;7
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old White female with a college education.;26;80;14
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old White female with a graduate school education.;19;77;24
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Black male with a high school education.;29;85;6
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Black male with a college education.;18;95;7
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Black male with a graduate school education.;26;80;14
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Black female with a high school education.;21;80;19
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Black female with a college education.;25;87;8
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Black female with a graduate school education.;32;70;18
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Asian male with a high school education.;21;84;15
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Asian male with a college education.;25;80;15
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Asian male with a graduate school education.;28;76;16
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Asian female with a high school education.;17;81;22
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Asian female with a college education.;20;81;19
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 30-year-old Asian female with a graduate school education.;25;74;21
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old White male with a high school education.;24;88;8
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old White male with a college education.;14;97;9
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old White male with a graduate school education.;19;92;9
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old White female with a high school education.;17;85;18
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old White female with a college education.;10;90;20
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old White female with a graduate school education.;26;84;10
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Black male with a high school education.;28;74;18
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Black male with a college education.;17;88;15
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Black male with a graduate school education.;25;79;16
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Black female with a high school education.;22;79;19
People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;You are a 50-year-old Black female with a college education.;19;92;9
