persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;b;Neither true nor false
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;b;Neither true nor false
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;b;Neither true nor false
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;c;Neither true nor false
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A street scene of people on scooters.;The scooters are electric.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
