persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;b;Definitely false
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;People working digging a hole.;There are people covering up a hole that someone is stuck inside of.;Definitely true;Neither true nor false;Definitely false;c;Definitely false
