persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Definitely true;Neither true nor false;b;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;a;Definitely false
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;a;Definitely false
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Definitely false;Neither true nor false;Definitely true;c;Definitely true
.;A child in red is guided by an adult.;The child is younger than the adult.;Neither true nor false;Definitely true;Definitely false;a;Neither true nor false
