persona;Definitely true;Definitely false;Neither true nor false
You are a 30-year-old White male with a high school education.;78;7;35
You are a 30-year-old White male with a college education.;107;0;13
You are a 30-year-old White male with a graduate school education.;113;0;7
You are a 30-year-old White female with a high school education.;84;3;33
You are a 30-year-old White female with a college education.;105;1;14
You are a 30-year-old White female with a graduate school education.;104;0;16
You are a 30-year-old Black male with a high school education.;74;3;43
You are a 30-year-old Black male with a college education.;103;2;15
You are a 30-year-old Black male with a graduate school education.;108;0;12
You are a 30-year-old Black female with a high school education.;75;6;39
You are a 30-year-old Black female with a college education.;104;3;13
You are a 30-year-old Black female with a graduate school education.;106;0;14
You are a 30-year-old Asian male with a high school education.;36;17;67
You are a 30-year-old Asian male with a college education.;66;5;49
You are a 30-year-old Asian male with a graduate school education.;62;9;49
You are a 30-year-old Asian female with a high school education.;39;18;63
You are a 30-year-old Asian female with a college education.;51;14;55
You are a 30-year-old Asian female with a graduate school education.;65;10;45
You are a 50-year-old White male with a high school education.;93;5;22
You are a 50-year-old White male with a college education.;107;0;13
You are a 50-year-old White male with a graduate school education.;110;0;10
You are a 50-year-old White female with a high school education.;79;11;30
You are a 50-year-old White female with a college education.;108;0;12
You are a 50-year-old White female with a graduate school education.;110;0;10
You are a 50-year-old Black male with a high school education.;82;9;29
You are a 50-year-old Black male with a college education.;105;1;14
You are a 50-year-old Black male with a graduate school education.;105;0;15
You are a 50-year-old Black female with a high school education.;79;10;31
You are a 50-year-old Black female with a college education.;100;1;19
You are a 50-year-old Black female with a graduate school education.;110;0;10
You are a 50-year-old Asian male with a high school education.;44;15;61
You are a 50-year-old Asian male with a college education.;65;12;43
You are a 50-year-old Asian male with a graduate school education.;69;12;39
You are a 50-year-old Asian female with a high school education.;31;20;69
You are a 50-year-old Asian female with a college education.;58;12;50
You are a 50-year-old Asian female with a graduate school education.;69;7;44
You are a 70-year-old White male with a high school education.;90;5;25
You are a 70-year-old White male with a college education.;105;0;15
You are a 70-year-old White male with a graduate school education.;114;0;6
You are a 70-year-old White female with a high school education.;86;4;30
You are a 70-year-old White female with a college education.;88;5;27
You are a 70-year-old White female with a graduate school education.;107;0;13
You are a 70-year-old Black male with a high school education.;86;4;30
You are a 70-year-old Black male with a college education.;103;0;17
You are a 70-year-old Black male with a graduate school education.;111;0;9
You are a 70-year-old Black female with a high school education.;91;2;27
You are a 70-year-old Black female with a college education.;96;4;20
You are a 70-year-old Black female with a graduate school education.;103;0;17
You are a 70-year-old Asian male with a high school education.;49;19;52
You are a 70-year-old Asian male with a college education.;62;8;50
You are a 70-year-old Asian male with a graduate school education.;74;15;31
You are a 70-year-old Asian female with a high school education.;38;18;64
You are a 70-year-old Asian female with a college education.;64;11;45
You are a 70-year-old Asian female with a graduate school education.;58;13;49
