persona;context;statement;option_1;option_2;option_3;selected_option;selected_option_value
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Definitely false;Neither true nor false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
.;A man in a blue helmet jumping off of a hill on a dirt bike.;The man is doing a trick on a bike.;Definitely true;Neither true nor false;Definitely false;a;Definitely true
