persona;Definitely true;Definitely false;Neither true nor false
.;93;7;20
You are a 30-year-old White male with a high school education.;92;7;21
You are a 30-year-old White male with a college education.;103;5;12
You are a 30-year-old White male with a graduate school education.;97;5;18
You are a 30-year-old White female with a high school education.;93;6;21
You are a 30-year-old White female with a college education.;96;4;20
You are a 30-year-old White female with a graduate school education.;95;3;22
You are a 30-year-old Black male with a high school education.;100;3;17
You are a 30-year-old Black male with a college education.;105;1;14
You are a 30-year-old Black male with a graduate school education.;95;6;19
You are a 30-year-old Black female with a high school education.;96;7;17
You are a 30-year-old Black female with a college education.;102;0;18
You are a 30-year-old Black female with a graduate school education.;96;7;17
You are a 30-year-old Asian male with a high school education.;96;5;19
You are a 30-year-old Asian male with a college education.;102;1;17
You are a 30-year-old Asian male with a graduate school education.;92;4;24
You are a 30-year-old Asian female with a high school education.;93;6;21
You are a 30-year-old Asian female with a college education.;103;1;16
You are a 30-year-old Asian female with a graduate school education.;99;2;19
You are a 50-year-old White male with a high school education.;88;10;22
You are a 50-year-old White male with a college education.;98;4;18
You are a 50-year-old White male with a graduate school education.;93;5;22
You are a 50-year-old White female with a high school education.;91;11;18
You are a 50-year-old White female with a college education.;99;4;17
You are a 50-year-old White female with a graduate school education.;91;8;21
You are a 50-year-old Black male with a high school education.;98;6;16
You are a 50-year-old Black male with a college education.;96;5;19
You are a 50-year-old Black male with a graduate school education.;99;5;16
You are a 50-year-old Black female with a high school education.;89;8;23
You are a 50-year-old Black female with a college education.;100;5;15
You are a 50-year-old Black female with a graduate school education.;91;9;20
You are a 50-year-old Asian male with a high school education.;97;6;17
You are a 50-year-old Asian male with a college education.;100;4;16
You are a 50-year-old Asian male with a graduate school education.;97;2;21
You are a 50-year-old Asian female with a high school education.;91;7;22
You are a 50-year-old Asian female with a college education.;92;5;23
You are a 50-year-old Asian female with a graduate school education.;91;7;22
You are a 70-year-old White male with a high school education.;89;4;27
You are a 70-year-old White male with a college education.;98;4;18
You are a 70-year-old White male with a graduate school education.;98;3;19
You are a 70-year-old White female with a high school education.;90;7;23
You are a 70-year-old White female with a college education.;95;5;20
You are a 70-year-old White female with a graduate school education.;96;4;20
You are a 70-year-old Black male with a high school education.;95;5;20
You are a 70-year-old Black male with a college education.;95;7;18
You are a 70-year-old Black male with a graduate school education.;87;11;22
You are a 70-year-old Black female with a high school education.;91;5;24
You are a 70-year-old Black female with a college education.;98;4;18
You are a 70-year-old Black female with a graduate school education.;87;5;28
You are a 70-year-old Asian male with a high school education.;94;5;21
You are a 70-year-old Asian male with a college education.;99;2;19
You are a 70-year-old Asian male with a graduate school education.;88;8;24
You are a 70-year-old Asian female with a high school education.;94;5;21
You are a 70-year-old Asian female with a college education.;91;6;23
You are a 70-year-old Asian female with a graduate school education.;90;5;25
