context;statement;option_1;option_2;option_3
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Definitely false;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely true;Neither true nor false;Definitely false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
A mother and her two children sit down to rest.;A mother and her daughters are resting.;Definitely false;Definitely true;Neither true nor false
