nli_nr,persona_nr,name,premise,hypo,inneu,inent,incon,final,inentro,entrolevel,persona,outentail,outcon,outneu,age,gender,nationality,education
1,1,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,.,0,120,0,,,,
1,2,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old White male with a high school education.,0,120,0,30,male,white,highschool
1,3,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old White male with a college education.,0,120,0,30,male,white,college
1,4,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old White male with a graduate school education.,0,120,0,30,male,white,graduateschool
1,5,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old White female with a high school education.,0,120,0,30,female,white,highschool
1,6,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old White female with a college education.,0,120,0,30,female,white,college
1,7,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old White female with a graduate school education.,0,120,0,30,female,white,graduateschool
1,8,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Black male with a high school education.,0,120,0,30,male,black,highschool
1,9,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Black male with a college education.,0,120,0,30,male,black,college
1,10,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Black male with a graduate school education.,0,120,0,30,male,black,graduateschool
1,11,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Black female with a high school education.,0,120,0,30,female,black,highschool
1,12,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Black female with a college education.,0,120,0,30,female,black,college
1,13,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Black female with a graduate school education.,0,120,0,30,female,black,graduateschool
1,14,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Asian male with a high school education.,0,120,0,30,male,asian,highschool
1,15,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Asian male with a college education.,0,120,0,30,male,asian,college
1,16,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Asian male with a graduate school education.,0,120,0,30,male,asian,graduateschool
1,17,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Asian female with a high school education.,0,120,0,30,female,asian,highschool
1,18,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Asian female with a college education.,0,120,0,30,female,asian,college
1,19,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 30-year-old Asian female with a graduate school education.,0,120,0,30,female,asian,graduateschool
1,20,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old White male with a high school education.,0,120,0,50,male,white,highschool
1,21,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old White male with a college education.,0,120,0,50,male,white,college
1,22,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old White male with a graduate school education.,0,120,0,50,male,white,graduateschool
1,23,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old White female with a high school education.,0,120,0,50,female,white,highschool
1,24,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old White female with a college education.,0,120,0,50,female,white,college
1,25,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old White female with a graduate school education.,0,120,0,50,female,white,graduateschool
1,26,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old Black male with a high school education.,0,120,0,50,male,black,highschool
1,27,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old Black male with a college education.,0,120,0,50,male,black,college
1,28,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old Black male with a graduate school education.,0,120,0,50,male,black,graduateschool
1,29,CaoH,Several children in full riding gear are on horseback in a grassy field carrying polo equipment.,The children are swinging on swings at the playground.,0,0,100,c,0,Low,You are a 50-year-old Black female with a high school education.,0,120,0,50,female,black,highschool
